Episode Number,Episode Name
S02E16,Cat and Mouse
S01E16,Hidden Enemy
S03E01,Clone Cadets
S03E03,Supply Lines
S01E01,Ambush
S01E02,Rising Malevolence
S01E03,Shadow of Malevolence
S01E04,Destroy Malevolence
S01E05,Rookies
S01E06,Downfall of a Droid
S01E07,Duel of the Droids
S01E08,Bombad Jedi
S01E09,Cloak of Darkness
S01E10,Lair of Grievous
S01E11,Dooku Captured
S01E12,The Gungan General
S01E13,Jedi Crash
S01E14,Defenders of Peace
S01E15,Trespass
S01E17,Blue Shadow Virus
S01E18,Mystery of a Thousand Moons
S01E19,Storm over Ryloth
S01E20,Innocents of Ryloth
S01E21,Liberty on Ryloth
S02E01,Holocron Heist
S02E02,Cargo of Doom
S02E03,Children of the Force
S02E17,Bounty Hunters
S02E18,The Zillo Beast
S02E19,The Zillo Beast Strikes Back
S02E04,Senate Spy
S02E05,Landing at Point Rain
S02E06,Weapons Factory
S02E07,Legacy of Terror
S02E08,Brain Invaders
S02E09,Grievous Intrigue
S02E10,The Deserter
S02E11,Lightsaber Lost
S02E12,The Mandalore Plot
S02E13,Voyage of Temptation
S02E14,Duchess of Mandalore
S02E20,Death Trap
S02E21,R2 Come Home
S02E22,Lethal Trackdown
S03E05,Corruption
S03E06,The Academy
S03E07,Assassin
S03E02,ARC Troopers
S03E04,Sphere of Influence
S03E08,Evil Plans
S01E22,Hostage Crisis
S03E09,Hunt for Ziro
S03E10,Heroes on Both Sides
S03E11,Pursuit of Peace
S02E15,Senate Murders
S03E12,Nightsisters
S03E13,Monster
S03E14,Witches of the Mist
S03E15,Overlords
S03E16,Altar of Mortis
S03E17,Ghosts of Mortis
S03E18,The Citadel
S03E19,Counter Attack
S03E20,Citadel Rescue
S03E21,Padawan Lost
S03E22,Wookiee Hunt
S04E01,Water War
S04E02,Gungan Attack
S04E03,Prisoners
S04E04,Shadow Warrior
S04E05,Mercy Mission
S04E06,Nomad Droids
S04E07,Darkness on Umbara
S04E08,The General
S04E09,Plan of Dissent
S04E10,Carnage of Krell
S04E11,Kidnapped
S04E12,Slaves of the Republic
S04E13,Escape from Kadavo
S04E14,A Friend in Need
S04E15,Deception
S04E16,Friends and Enemies
S04E17,The Box
S04E18,Crisis on Naboo
S04E19,Massacre
S04E20,Bounty
S04E21,Brothers
S04E22,Revenge
S05E02,A War on Two Fronts
S05E03,Front Runners
S05E04,The Soft War
S05E05,Tipping Points
S05E06,The Gathering
S05E07,A Test of Strength
S05E08,Bound for Rescue
S05E09,A Necessary Bond
S05E10,Secret Weapons
S05E11,A Sunny Day in the Void
S05E12,Missing in Action
S05E13,Point of No Return
S05E01,Revival
S05E14,Eminence
S05E15,Shades of Reason
S05E16,Lawless
S05E17,Sabotage
S05E18,The Jedi Who Knew Too Much
S05E19,To Catch a Jedi
S05E20,The Wrong Jedi
S06E01,The Unknown
S06E02,Conspiracy
S06E03,Fugitive
S06E04,Orders
S06E05,An Old Friend
S06E06,The Rise of Clovis
S06E07,Crisis at the Heart
S06E08,The Disappeared
S06E09,The Disappeared: Pt. II
S06E10,The Lost One
S06E11,Voices
S06E12,Destiny
S06E13,Sacrifice
S07E05,Gone with a Trace
S07E06,Deal No Deal
S07E07,Dangerous Debt
S07E08,Together Again
S07E01,The Bad Batch
S07E02,A Distant Echo
S07E03,On the Wings of Keeradaks
S07E04,Unfinished Business
S07E09,Old Friends Not Forgotten
S07E10,The Phantom Apprentice
S07E11,Shattered
S07E12,Victory and Death
